scrape_date,scrape_timestamp,dining_hall,campus,meal_period,item_name,serving_size,source_url,nutrition_link,calories_kcal,total_fat_g,sat_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,fiber_g,sugar_g,protein_g,is_vegetarian,is_vegan,is_high_protein,is_low_calorie,is_low_sodium
05/07/2026,2026-05-07T18:01:57,Livingston,Livingston,Lunch,BEEF FAJITA SOUP,4 OZ,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=03&locationName=Livingston+Dinning+Hall&dtdate=05/07/2026&activeMeal=Lunch&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=03&locationName=Livingston+Dinning+Hall&dtdate=05%2f07%2f2026&RecNumAndPort=020060*4,108.0,2.6,0.9,0.0,28.3,242.5,,1.5,1.5,12.8,False,False,False,True,True
05/07/2026,2026-05-07T18:01:57,Livingston,Livingston,Lunch,CHEESE AND BROCCOLI SOUP,6 OZ,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=03&locationName=Livingston+Dinning+Hall&dtdate=05/07/2026&activeMeal=Lunch&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=03&locationName=Livingston+Dinning+Hall&dtdate=05%2f07%2f2026&RecNumAndPort=020001*6,152.0,7.2,4.0,0.0,17.4,521.0,,1.8,3.7,7.0,True,False,False,True,True
05/07/2026,2026-05-07T18:01:57,Livingston,Livingston,Lunch,BLACK BEAN BURGER,1 EACH,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=03&locationName=Livingston+Dinning+Hall&dtdate=05/07/2026&activeMeal=Lunch&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=03&locationName=Livingston+Dinning+Hall&dtdate=05%2f07%2f2026&RecNumAndPort=019105*1,146.0,6.7,0.0,0.0,0.0,416.1,,3.5,0.0,6.2,True,True,False,True,True
05/07/2026,2026-05-07T18:01:57,Livingston,Livingston,Lunch,BREADED CHICKEN CUTLET,1 EACH,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=03&locationName=Livingston+Dinning+Hall&dtdate=05/07/2026&activeMeal=Lunch&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=03&locationName=Livingston+Dinning+Hall&dtdate=05%2f07%2f2026&RecNumAndPort=111051*1,273.0,10.1,2.0,0.0,65.8,688.5,,1.0,0.0,26.3,False,False,True,True,False
05/07/2026,2026-05-07T18:01:57,Livingston,Livingston,Lunch,GRILLED HOT DOGS,1 EACH,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=03&locationName=Livingston+Dinning+Hall&dtdate=05/07/2026&activeMeal=Lunch&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=03&locationName=Livingston+Dinning+Hall&dtdate=05%2f07%2f2026&RecNumAndPort=800009*1,239.0,22.5,6.6,0.7,19.9,530.5,,0.0,0.0,9.3,True,True,False,True,True
05/07/2026,2026-05-07T18:01:57,Livingston,Livingston,Lunch,HALAL HAMBURGER,1 EACH,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=03&locationName=Livingston+Dinning+Hall&dtdate=05/07/2026&activeMeal=Lunch&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=03&locationName=Livingston+Dinning+Hall&dtdate=05%2f07%2f2026&RecNumAndPort=019084*1,146.0,8.3,3.3,,35.5,246.3,,0.0,,13.4,False,False,False,True,True
05/07/2026,2026-05-07T18:01:57,Livingston,Livingston,Lunch,HAMBURGER POTATO BUN,1 EACH,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=03&locationName=Livingston+Dinning+Hall&dtdate=05/07/2026&activeMeal=Lunch&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=03&locationName=Livingston+Dinning+Hall&dtdate=05%2f07%2f2026&RecNumAndPort=218042*1,142.0,1.9,0.4,,0.5,285.1,,1.2,0.8,4.3,False,False,False,True,True
05/07/2026,2026-05-07T18:01:57,Livingston,Livingston,Lunch,POTATO HOT DOG ROLL,1 EACH,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=03&locationName=Livingston+Dinning+Hall&dtdate=05/07/2026&activeMeal=Lunch&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=03&locationName=Livingston+Dinning+Hall&dtdate=05%2f07%2f2026&RecNumAndPort=212008*1,142.0,1.9,0.4,,0.5,285.1,,1.2,0.8,4.3,True,True,False,True,True
05/07/2026,2026-05-07T18:01:57,Livingston,Livingston,Lunch,SPICY CHICKEN CUTLET,1 EACH,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=03&locationName=Livingston+Dinning+Hall&dtdate=05/07/2026&activeMeal=Lunch&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=03&locationName=Livingston+Dinning+Hall&dtdate=05%2f07%2f2026&RecNumAndPort=111052*1,273.0,10.1,2.0,0.0,65.8,890.1,,1.0,0.0,26.3,False,False,True,True,False
05/07/2026,2026-05-07T18:01:57,Livingston,Livingston,Lunch,TURKEY BURGER,1 EACH,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=03&locationName=Livingston+Dinning+Hall&dtdate=05/07/2026&activeMeal=Lunch&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=03&locationName=Livingston+Dinning+Hall&dtdate=05%2f07%2f2026&RecNumAndPort=111093*1,136.0,8.0,2.4,,72.3,88.3,,0.0,0.0,16.1,False,False,False,True,True
05/07/2026,2026-05-07T18:01:57,Livingston,Livingston,Lunch,VEGETABLE BURGER,1 EACH,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=03&locationName=Livingston+Dinning+Hall&dtdate=05/07/2026&activeMeal=Lunch&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=03&locationName=Livingston+Dinning+Hall&dtdate=05%2f07%2f2026&RecNumAndPort=143162*1,170.0,6.0,1.0,0.0,0.0,470.0,,5.0,2.0,6.0,True,True,False,True,True
05/07/2026,2026-05-07T18:01:57,Livingston,Livingston,Lunch,AVOCADO MASH,2 OZ,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=03&locationName=Livingston+Dinning+Hall&dtdate=05/07/2026&activeMeal=Lunch&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=03&locationName=Livingston+Dinning+Hall&dtdate=05%2f07%2f2026&RecNumAndPort=130039*2,125.0,11.3,1.7,0.0,0.0,0.0,,3.4,0.0,1.1,True,True,False,True,True
